dataset	SLO	cond	batch
1_Mu_Cxcl13-EYFP_LN_RFP_EYFP	LN	naive	BY
9__20200312_Cxcl13-EYFP_LN1_RFP	LN	naive	BX
10__20200312_Cxcl13-EYFP_LN2_RFP	LN	naive	BX
5_20200408_Cxcl13-RFP_LN_VSV_D14_EYFPRFP_V3	LN	immunized	BZ
2_Mu_Cxcl13-EYFP_Spleen_RFP_EYFP_v3	Spleen	naive	BY
11__20200312_Cxcl13-EYFP_spleen1_RFP_v3	Spleen	naive	BX
12__20200312_Cxcl13-EYFP_spleen2_RFP_v3	Spleen	naive	BX
6_20200408_Cxcl13-RFP_spleen_VSV_D14_EYFPRFP_V3	Spleen	immunized	BZ
3_Cxcl13-EYFP_VSV_inf_spleen_EYFP_RFP_v3	Spleen	immunized	BW
3_Mu_Cxcl13-EYFP_PP_EYFP_v3	PP	immunized	BY
8__20200312_Cxcl13-EYFP_PP_EYFP_v3	PP	immunized	BX
11_ver3_Cxcl13-EYFP_PP	PP	immunized	BV
6_20200721_Mu_LN_Cxcl13cre_EYFP_naive_1_v3	LN	naive	BU
7_20200721_Mu_LN_Cxcl13cre_EYFP_naive_2_v3	LN	naive	BU
8_20200721_Mu_spleen_Cxcl13cre_EYFP_naive_v3	Spleen	naive	BU
9_20200721_Mu_PP_Cxcl13cre_EYFP_naive_v3	PP	immunized	BU
10_20200722_Mu_LN_Cxcl13cre_EYFP_RFP_VSV_D14_v3	Spleen	immunized	BT
14_20200729_Mu_balbc_medisLN_TCRM_stromal_cells_v3	LN	immunized	BT
14_20200930_Mu_Cxcl13-EYFP_PP_EYFP_v3	PP	immunized	BS
